209,0.5449157829070492,0.12677603520252737,5,7	100044,100035,100007,100013,100007,100032	100056
36,0.14098565190268247,0.11118943924179171,8,14	100044,100011,100007,100083,100035,100007,100078,100087,100228,100034,100012,100026	100017,100056
44,0.010917030567685589,0.10270021437436534,7,14	100007,100007,100010,100038,100012,100026,100012,100026,100244,100031,100002,100038	100007,100011
36,0.14098565190268247,0.08951280604761368,5,8	100180,100160,100025,100087,100006,100044,100043	100069
81,0.00031191515907673113,0.05852465305201399,7,10	100007,100044,100065,100032,100038,100013,100081,100031,100007	100081
77,0.00031191515907673113,0.04224935123547332,2,7	100032,100056	100076,100285,100013,100011,100143
182,0.012164691203992514,0.0627417353040731,1,2	100006	100007
65,0.005302557704304429,0.0,6,12	100081,100042,100004,100253,100003,100069,100021,100168,100010,100068,100020	100205
65,0.005302557704304429,0.0,3,11	100036,100010,100010,100007,100036,100214,100036,100069,100021,100065	100010
65,0.005302557704304429,0.1367708450863139,2,4	100065,100065	100069,100065
117,0.0028072364316905803,0.056964007672345704,3,8	100010,100007,100056,100035,100043,100011	100056,100032
36,0.14098565190268247,0.03566557599007108,1,5	100036	100027,100073,100004,100034
36,0.14098565190268247,0.03252352476588063,2,4	100056,100022,100011	100012
36,0.14098565190268247,0.04332167437662191,5,10	100017,100007,100036,100031,100026,100011,100036,100253,100011	100012
36,0.14098565190268247,0.040065891910188424,1,5	100073,100017	100004,100027,100036
36,0.14098565190268247,0.03447410583323931,0,2		100144,100073
37,0.08827199001871491,0.10102944826808079,3,4	100002,100026,100002	100007
37,0.08827199001871491,0.13901839106397382,2,6	100048,100026,100056,100042,100002	100013
37,0.08827199001871491,0.119950355410132,2,3	100042,100038	100013
37,0.08827199001871491,0.14080740155703486,5,8	100002,100042,100002,100002,100038,100001	100237,100007
37,0.08827199001871491,0.12975200270788673,4,9	100012,100007,100013,100002,100071,100038	100215,100071,100042
37,0.08827199001871491,0.12463590206476362,2,5	100042,100013,100002	100011,100038
37,0.08827199001871491,0.15857926210086878,3,10	100063,100038,100002,100007,100013,100026	100042,100007,100013,100026
37,0.08827199001871491,0.11862710143292339,2,4	100011,100002,100013	100056
37,0.08827199001871491,0.2384420625070518,7,13	100026,100023,100053,100013,100110,100109,100218,100070,100042,100043,100013	100031,100026
37,0.08827199001871491,0.09723118582872617,2,4	100053,100013	100041,100043
37,0.08827199001871491,0.06910978224077625,2,6	100145,100167,100010,100049,100012	100007
37,0.08827199001871491,0.10434390161344917,3,7	100007,100063,100002,100007	100026,100002,100038
37,0.08827199001871491,0.12022565722667268,7,10	100042,100007,100007,100013,100013,100002,100020,100013,100038	100013
37,0.08827199001871491,0.08243980593478506,2,4	100002,100013,100002	100007
37,0.08827199001871491,0.18776757305652714,4,5	100007,100038,100013,100002	100038
37,0.08827199001871491,0.19134288615592915,6,11	100011,100013,100001,100049,100010,100078,100054,100106,100070,100002	100025
37,0.08827199001871491,0.11748798375267967,1,2	100002	100013
37,0.08827199001871491,0.17102831998194742,2,3	100011,100013	100087
37,0.08827199001871491,0.11573959156041973,7,10	100038,100020,100002,100007,100013,100071,100038,100002,100042	100021
37,0.08827199001871491,0.12486065666252961,5,9	100026,100038,100007,100002,100026,100013,100038	100031,100285
37,0.08827199001871491,0.10226153672571364,2,8	100038,100026,100044,100042,100007,100012	100038,100002
37,0.08827199001871491,0.20112467561773667,2,9	100053,100002,100007,100026,100035,100013	100042,100043,100026
37,0.08827199001871491,0.1395464289743879,2,3	100013,100002	100216
37,0.08827199001871491,0.1130046259731468,4,10	100002,100002,100001,100056,100253,100007,100013,100035	100007,100035
37,0.08827199001871491,0.10374906916393997,5,7	100038,100002,100038,100007,100002,100013	100007
37,0.08827199001871491,0.11783910639738238,2,5	100002,100038,100026,100013	100253
37,0.08827199001871491,0.23569716800180526,7,17	100001,100007,100011,100035,100038,100007,100035,100026,100002,100013,100071,100001,100025,100025,100032	100001,100038
37,0.08827199001871491,0.12052352476588063,3,6	100026,100007,100007,100035,100013	100056
37,0.08827199001871491,0.12065801647297755,2,4	100002,100012	100013,100002
191,0.002183406113537118,0.11108653954642897,5,9	100228,100228,100088,100007,100016,100088,100007,100035	100002
191,0.002183406113537118,0.11519530632968521,3,4	100002,100007,100007	100007
191,0.002183406113537118,0.06837233442400993,1,2	100010	100012
191,0.002183406113537118,0.16865982173079092,6,14	100006,100007,100035,100023,100007,100010,100007,100269,100146,100211,100021,100132,100010	100012
191,0.002183406113537118,0.06756177366580164,0,1		100007
